id,verdict_date,causal_mechanism,structure_class,universe,windows_consumed,verdict,key_numbers,evidence
H01,2026-07-06,"Cross-sectional momentum filter: recent strong performers continue",debit vertical,13-symbol frozen cohort,2022-01..2024-05 OOS,falsified_out_of_sample,"29/29 months, 200 rows, pct-cluster PF LB 0.22, USD-cluster PF LB 0.14, net -$18210",docs/DECISIONS.md 2026-07-06 OOS verdict
H02,2026-07-12,"Broad trend continuation pays a directional premium",call debit vertical,SPY,2018-2019 10:10,rejected_regime_dependence,"65 trades, PF 1.275, stressed 0.954, week-cluster PF LB 0.836; final PF 0.875, LB 0.377",docs/PROFITABLE_LANE_TECHNICAL_PLAN.md
H03,2026-07-12,"Trend-filtered short volatility: sell puts only in uptrends",put credit vertical,SPY,2022-2023 15:55,rejected_negative,"52 trades, -$328.20, PF 0.756, stressed PF 0.224, week-cluster PF LB 0.455; final PF 0.450",docs/PROFITABLE_LANE_TECHNICAL_PLAN.md
H04,2026-07-12,"Broad trend/debit momentum across a wide universe",debit vertical,59 symbols,train+validation,rejected_large_loss,"selected arm -$137420.60 train (PF 0.258), -$91933.20 validation (PF 0.263), week PF LB 0.219",docs/PROFITABLE_LANE_TECHNICAL_PLAN.md
H05,2026-07-12,"Single-symbol survivor (C) carries a persistent edge",debit vertical,C,separately frozen final,permanently_killed,"22 trades, -$673.20, PF 0.620, stressed -$1056, PF 0.467",docs/PROFITABLE_LANE_TECHNICAL_PLAN.md
H06,2026-07-12,"Broad credit variance risk premium harvest",credit spread,59 symbols,feasibility only,killed_on_feasibility,post-train put scarcity; no scorer reached,docs/DECISIONS.md 2026-07-12 executable and feasibility rejections
H07,2026-07-12,"Relative strength across names predicts continuation",debit vertical,cross-sectional,feasibility only,killed_on_breadth_gate,failed independent 20-symbol breadth gate,docs/DECISIONS.md 2026-07-12
H08,2026-07-12,"Upside exhaustion: extended names revert",bear call vertical,all 59,feasibility only,killed_before_pnl,"93 raw candidates and 21 projected entry weeks vs 250/30 required",docs/DECISIONS.md 2026-07-12
H09,2026-07-14,"Feature-screened short call premium",short call,all 59,acquisition only,terminal_unscored,"1582 candidates, 2491 demands, 2389 exact requests; corporate-action identity failure (NVDA split)",docs/NEXT_STEPS.md item 7
H10,2026-07-10,"Momentum continuation after confirmed move",debit vertical,13-symbol,trusted batch 3122,parked_underpowered,"340 exact rows, 98.02% quote coverage, raw PF 1.5008 but clustered bootstrap PF LB 0.92",docs/NEXT_STEPS.md section 6
H11,2026-07-18,"Index variance risk premium via credit spreads (VRP v2)",credit spread,4 ETFs,frozen window,terminal_underpowered,"maximum frozen hold reaches 52 trades and 13 synchronized clusters vs 60/20 required",docs/DECISIONS.md 2026-07-18
H12,2026-07-26,"Post-earnings implied volatility crush",4-leg iron condor,9 large caps,2018-2021,dead_on_constructibility,"13 of 72 OOS events constructible vs 60/20/12; 285/552 legs breach 25%-of-midpoint; 2021 lower-quartile credit negative",docs/regular-options-post-earnings-fallback-terminal-verdict-2026-07-26.md
H13,2026-07-28,"Volatility expansion observation (prospective forward cohort)",debit vertical,SPY QQQ IWM DIA,forward 2026-06-14..2026-07-28,operational_kill_zero_rows,"0 of 30 required rows by eval date; cohort log never created; 156 gate drops 0 picks",data/contracts/forward-cohort-preregistration.json
H14,2026-07-28,"Bullish pullback observation (prospective forward cohort)",debit vertical,10-name carrier set,forward 2026-06-14..2026-07-28,operational_kill_zero_rows,"0 rows by eval date; 2242 gate drops 0 picks across 77 sessions",data/contracts/forward-cohort-preregistration.json
H15,2026-08-02,"Index variance risk premium via naked cash-secured short puts",single-leg short put,SPY QQQ IWM,2018-2019 + 2020-2021 + 2022-2024,rejected_clustered_lower_bound,"419 trades 219 week-clusters; raw PF 1.161 but clustered 5% PF LB 0.626; 2018-2021 net +$387 on 270 trades with 48.9% daily-marked drawdown; crash window PF 0.910",scripts/replay_short_put_v2.py + scratchpad v2_design/v2_crash/v2_holdout.json
H16,2026-08-02,"Defined-risk index short volatility (tail capped by a long wing)",put credit vertical,index ETFs,none - killed at proposal,collides_with_H03,proposed as next test; collides with H03 which is already rejected and marked not-to-be-tuned,review by GPT-5.6-sol 2026-08-02
