trade_id,ticker,lane,record_class,evidence_quality,why_picked,final_pnl_pct,first_negative_time,executable_exit_before_negative,executable_profit_sell_before_final_loss,protections_failed_or_missing,failure_category,confidence,notes
432,WMT,swing,all_lanes_zero_pick_research_backfill,limited_research_backfill,playbook=swing; event=historical_backfill_scan_pick; selection=historical_chain_native_exact_contract; candidate=historical_exact_backfill_candidate; ev=35.395; direction=74.1; quality=75.8; tech=96.7871; ret5=2.9536; debit_width=40.6%; fill_degradation=34.2%; worst_leg_spread=23.8%,-100.0,,False,False,"['fill_degradation_ge_20', 'worst_leg_spread_ge_20']",entry_guardrail_now_blocks,medium,"research/backfill row; not live-production proof; current promoted entry guardrails would block or flag this row: fill_degradation_ge_20, worst_leg_spread_ge_20"
273,WMT,short_term,all_lanes_zero_pick_research_backfill,limited_research_backfill,playbook=short_term; event=historical_backfill_scan_pick; selection=historical_chain_native_exact_contract; candidate=historical_exact_backfill_candidate; ev=41.95; direction=81.0; quality=56.7; tech=95.4126; ret5=4.5066; debit_width=51.5%; fill_degradation=22.2%; worst_leg_spread=8.4%,-100.0,,False,False,"['debit_gt_45_width', 'fill_degradation_ge_20']",entry_guardrail_now_blocks,low,"research/backfill row; not live-production proof; current promoted entry guardrails would block or flag this row: debit_gt_45_width, fill_degradation_ge_20"
429,XLK,swing,all_lanes_zero_pick_research_backfill,limited_research_backfill,playbook=swing; event=historical_backfill_scan_pick; selection=historical_chain_native_exact_contract; candidate=historical_exact_backfill_candidate; ev=47.8; direction=64.0; quality=79.3; tech=86.8126; ret5=0.4216; debit_width=50.5%; fill_degradation=83.9%; worst_leg_spread=116.8%,-100.0,,False,False,"['debit_gt_45_width', 'fill_degradation_ge_20', 'worst_leg_spread_ge_20', 'lane_ticker_quarantine']",entry_guardrail_now_blocks,low,"research/backfill row; not live-production proof; current promoted entry guardrails would block or flag this row: debit_gt_45_width, fill_degradation_ge_20, worst_leg_spread_ge_20, lane_ticker_quarantine"
417,XLK,swing,all_lanes_zero_pick_research_backfill,limited_research_backfill,playbook=swing; event=historical_backfill_scan_pick; selection=historical_chain_native_exact_contract; candidate=historical_exact_backfill_candidate; ev=81.73; direction=87.4; quality=80.6; tech=99.315; ret5=4.0111; debit_width=63.1%; fill_degradation=50.7%; worst_leg_spread=100.7%,-100.0,,False,False,"['debit_gt_45_width', 'fill_degradation_ge_20', 'worst_leg_spread_ge_20', 'lane_ticker_quarantine']",entry_guardrail_now_blocks,low,"research/backfill row; not live-production proof; current promoted entry guardrails would block or flag this row: debit_gt_45_width, fill_degradation_ge_20, worst_leg_spread_ge_20, lane_ticker_quarantine"
260,XLK,short_term,all_lanes_zero_pick_research_backfill,limited_research_backfill,playbook=short_term; event=historical_backfill_scan_pick; selection=historical_chain_native_exact_contract; candidate=historical_exact_backfill_candidate; ev=81.73; direction=87.4; quality=67.5; tech=99.315; ret5=4.0111; debit_width=75.0%; fill_degradation=56.9%; worst_leg_spread=64.8%,-100.0,,False,False,"['debit_gt_45_width', 'fill_degradation_ge_20', 'worst_leg_spread_ge_20', 'lane_ticker_quarantine']",entry_guardrail_now_blocks,low,"research/backfill row; not live-production proof; current promoted entry guardrails would block or flag this row: debit_gt_45_width, fill_degradation_ge_20, worst_leg_spread_ge_20, lane_ticker_quarantine"
88,SBUX,bullish_pullback_observation,main_zero_pick_research_backfill,limited_research_backfill,playbook=bullish_pullback_observation; event=historical_backfill_scan_pick; selection=historical_chain_native_exact_contract; candidate=historical_exact_backfill_candidate; ev=45.18; direction=84.4; quality=69.5; tech=73.1044; ret5=-0.4604; debit_width=26.0%; fill_degradation=14.7%; worst_leg_spread=37.2%,-100.0,2026-05-30 23:30:05.192312-06:00,False,False,"['worst_leg_spread_ge_20', 'bullish_pullback_not_keep_bucket']",entry_guardrail_now_blocks,medium,"research/backfill row; not live-production proof; current promoted entry guardrails would block or flag this row: worst_leg_spread_ge_20, bullish_pullback_not_keep_bucket"
404,NEM,swing,all_lanes_zero_pick_research_backfill,limited_research_backfill,playbook=swing; event=historical_backfill_scan_pick; selection=historical_chain_native_exact_contract; candidate=historical_exact_backfill_candidate; ev=57.91; direction=97.8; quality=69.9; tech=96.2043; ret5=11.3911; debit_width=42.2%; fill_degradation=39.7%; worst_leg_spread=67.3%,-100.0,,False,False,"['fill_degradation_ge_20', 'worst_leg_spread_ge_20']",entry_guardrail_now_blocks,low,"research/backfill row; not live-production proof; current promoted entry guardrails would block or flag this row: fill_degradation_ge_20, worst_leg_spread_ge_20"
61,BAC,bullish_pullback_observation,main_zero_pick_research_backfill,limited_research_backfill,playbook=bullish_pullback_observation; event=historical_backfill_scan_pick; selection=historical_chain_native_exact_contract; candidate=historical_exact_backfill_candidate; ev=57.53; direction=97.4; quality=79.0; tech=81.6153; ret5=-1.5333; debit_width=35.8%; fill_degradation=16.1%; worst_leg_spread=22.2%,-100.0,,False,False,"['worst_leg_spread_ge_20', 'bullish_pullback_not_keep_bucket']",entry_guardrail_now_blocks,low,"research/backfill row; not live-production proof; current promoted entry guardrails would block or flag this row: worst_leg_spread_ge_20, bullish_pullback_not_keep_bucket"
285,NFLX,swing,all_lanes_zero_pick_research_backfill,limited_research_backfill,playbook=swing; event=historical_backfill_scan_pick; selection=historical_chain_native_exact_contract; candidate=historical_exact_backfill_candidate; ev=56.77; direction=96.6; quality=72.3; tech=93.7425; ret5=6.8027; debit_width=23.9%; fill_degradation=9.7%; worst_leg_spread=4.5%,-100.0,,False,False,['lane_ticker_quarantine'],entry_guardrail_now_blocks,low,research/backfill row; not live-production proof; current promoted entry guardrails would block or flag this row: lane_ticker_quarantine
228,DIS,short_term,all_lanes_zero_pick_research_backfill,limited_research_backfill,playbook=short_term; event=historical_backfill_scan_pick; selection=historical_chain_native_exact_contract; candidate=historical_exact_backfill_candidate; ev=59.43; direction=99.4; quality=60.3; tech=98.9297; ret5=6.6732; debit_width=43.2%; fill_degradation=15.6%; worst_leg_spread=11.1%,-99.5429,,False,False,[],missing_review_timeline,low,research/backfill row; not live-production proof
